STATION,NORTH,EAST,SNO,TYPE
C1,1016.261,1025.49,6,0
CP1,1014.846,1024.007,7,0
E1,1004.506,1013.298,8,0
LAMPPOST 1,1011.226,1006.531,1,0
LAMPPOST2,1024.508,1016.632,2,0
P1,993.392,1016.971,15,0
P2,998.609,1069.306,26,0
P3,1018.85,1068.364,31,0
P4,1046.522,1046.522,35,0
P5,998.659,1069.314,24,0
P6,1000.234,1017.338,9,0
P7,997.193,1014.158,10,0
P8,996.007,1014.637,11,0
P9,995.826,1014.65,12,0
P10,995.463,1014.452,13,0
P11,993.172,1017.237,16,0
P12,1005.906,1076.803,27,0
P13,1021.316,1070.78,32,0
P14,1027.446,1055.547,36,0
P15,992.79,1018.242,17,0
P16,1011.405,1071.548,28,0
P17,1032.61,1060.04,33,0
P18,1036.205,1047.241,37,0
P19,995.93,1021.749,18,0
P20,1013.45,1073.686,29,0
P21,1019.771,1030.58,38,0
P22,978.968,1037.865,19,0
P23,1023.328,1027.291,39,0
P24,985.408,1044.661,20,0
P25,1022.876,1026.094,40,0
P26,986.494,1045.83,21,0
P27,1022.76,1025.951,41,0
P28,984.637,1047.597,22,0
P29,1023.107,1025.575,42,0
P30,997.882,1061.57,23,0
P31,1019.572,1022.247,5,0
PILLER1,1020.6441,1022.73,3,0
STATION1,1000,1000,0,1
STATION2,967.761,1031.889,14,1
STATION3,1004.251,1079.635,25,1
STATION4,1024.778,1075.25,30,1
STATION5,1047.083,1046.128,34,1
TANK1,1021.157,1022.536,4,0
